Volatility 3 Framework 2.7.0

Offset	Name	Size

0xde012b8aad40	\Windows\System32\dbgcore.dll	216
0xde012be55380	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys	216
0xde012be55ab0	\Windows\System32\drivers\tdx.sys	216
0xde012be55c20	\Windows\System32\drivers\cimfs.sys	216
0xde012be56070	\Windows\System32\drivers\npfs.sys	216
0xde012be561e0	\Windows\System32\drivers\tdi.sys	216
0xde012be56350	\Windows\System32\drivers\msfs.sys	216
0xde012be564c0	\$Directory	216
0xde012be56bf0	\Windows\System32\drivers\netbt.sys	216
0xde012be65380	\Windows\System32\drivers\pacer.sys	216
0xde012be654f0	\Windows\System32\drivers\rdbss.sys	216
0xde012be657d0	\Windows\System32\drivers\afd.sys	216
0xde012be65c20	\Windows\System32\drivers\netbios.sys	216
0xde012be66070	\Windows\System32\drivers\afunix.sys	216
0xde012be664c0	\Windows\System32\drivers\ndiscap.sys	216
0xde012be66630	\Windows\System32\drivers\Vid.sys	216
0xde012be667a0	\Windows\System32\drivers\vwififlt.sys	216
0xde012be66a80	\Windows\System32\drivers\winhvr.sys	216
0xde012be6d0a0	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys	216
0xde012be6d210	\Windows\System32\drivers\filecrypt.sys	216
0xde012be6d380	\Windows\System32\drivers\null.sys	216
0xde012be6d7d0	\$Directory	216
0xde012be6e4c0	\Windows\System32\drivers\dxgkrnl.sys	216
0xde012be6e7a0	\Windows\System32\drivers\watchdog.sys	216
0xde012be6e910	\Windows\System32\drivers\beep.sys	216
0xde012be6ea80	\Windows\System32\drivers\tbs.sys	216
0xde012bf94210	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xde012bf94380	\$Extend\$RmMetadata\$Repair	216
0xde012bf944f0	\$Extend:$I30:$INDEX_ALLOCATION	216
0xde012bf94660	\$Extend\$UsnJrnl:$J:$DATA	216
0xde012bf94940	\Windows\System32\drivers\crashdmp.sys	216
0xde012bf94ab0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0xde012bf94c20	\$Secure:$SDS:$DATA	216
0xde012bf94d90	\:$I30:$INDEX_ALLOCATION	216
0xde012bf95350	\$Directory	216
0xde012bf954c0	\Windows\System32\drivers\en-US\ntfs.sys.mui	216
0xde012bf95630	\$Directory	216
0xde012bf957a0	\$Extend\$RmMetadata\$Repair:$Verify:$DATA	216
0xde012bf95910	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xde012bf95a80	\$Secure:$SII:$INDEX_ALLOCATION	216
0xde012bf95bf0	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012bf95d60	\$Directory	216
0xde012bf95ed0	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA	216
0xde012bfce0a0	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012bfce210	\$ConvertToNonresident	216
0xde012bfce380	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xde012bfce4f0	\$Directory	216
0xde012bfce7d0	KtmLog	216
0xde012bfcf4c0	\:$I30:$INDEX_ALLOCATION	216
0xde012bfcf630	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0xde012bfcf7a0	TxfLog	216
0xde012bfcf910	\$Directory	216
0xde012bfcfbf0	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xde012bfcfd60	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xde012bfcfed0	\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e05d210	\$Mft	216
0xde012e05e350	\$BitMap	216
0xde012e05e4c0	\$LogFile	216
0xde012e05e630	\$Directory	216
0xde012e05e910	\$Mft::$BITMAP	216
0xde012e05ebf0	\$MftMirr	216
0xde012e304380	\Windows\System32\vertdll.dll	216
0xde012e304660	\Windows\System32\drivers\dumpfve.sys	216
0xde012e304c20	\Windows\System32\drivers\storahci.sys	216
0xde012e304d90	\$Directory	216
0xde012e3054c0	\Windows\System32\drivers\cdrom.sys	216
0xde012e305910	\Windows\System32\drivers\Diskdump.sys	216
0xde012e305a80	\Windows\SysWOW64\ntdll.dll	216
0xde012e305d60	\Windows\System32\ntdll.dll	216
0xde012e3ed4f0	\Windows\System32\drivers\gpuenergydrv.sys	216
0xde012e3ed660	\Windows\System32\drivers\mssmbios.sys	216
0xde012e3edc20	\Windows\System32\drivers\nsiproxy.sys	216
0xde012e3ee070	\Windows\System32\drivers\csc.sys	216
0xde012e3ee630	\Windows\System32\drivers\dfsc.sys	216
0xde012e3eea80	\Windows\System32\drivers\npsvctrig.sys	216
0xde012e4270a0	\$Secure:$SDS:$DATA	216
0xde012e427380	\$MftMirr	216
0xde012e4274f0	\:$I30:$INDEX_ALLOCATION	216
0xde012e427660	\$Secure:$SII:$INDEX_ALLOCATION	216
0xde012e4277d0	\$Extend:$I30:$INDEX_ALLOCATION	216
0xde012e427c20	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xde012e4287a0	\$Extend\$RmMetadata\$Repair	216
0xde012e428910	\$LogFile	216
0xde012e428bf0	\$Mft::$BITMAP	216
0xde012e428d60	\$Mft	216
0xde012e428ed0	\$BitMap	216
0xde012e4420b0	\Windows\System32\drivers\bam.sys	216
0xde012e442220	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0xde012e442670	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xde012e4427e0	\:$I30:$INDEX_ALLOCATION	216
0xde012e442c30	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xde012e442da0	KtmLog	216
0xde012e443080	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e4434d0	\Windows\System32\drivers\ahcache.sys	216
0xde012e443640	TxfLog	216
0xde012e4437b0	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0xde012e443c00	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xde012e443d70	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e4441c0	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys	216
0xde012e444330	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e4444a0	\Windows\bootstat.dat	216
0xde012e444780	\Windows\System32\smss.exe	216
0xde012e444bd0	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xde012e445190	\Windows\System32\drivers\kbdclass.sys	216
0xde012e445750	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys	216
0xde012e445ba0	\Windows\System32\drivers\kdnic.sys	216
0xde012e445d10	\Windows\System32\drivers\i8042prt.sys	216
0xde012e4740b0	\Windows\System32\drivers\E1G6032E.sys	216
0xde012e474220	\Windows\System32\drivers\hdaudbus.sys	216
0xde012e474500	\Windows\System32\drivers\battc.sys	216
0xde012e474950	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys	216
0xde012e474da0	\Windows\System32\drivers\rdpbus.sys	216
0xde012e475360	\Windows\System32\drivers\Ucx01000.sys	216
0xde012e4754d0	\Windows\System32\drivers\mouclass.sys	216
0xde012e4757b0	\Windows\System32\drivers\intelppm.sys	216
0xde012e475a90	\Windows\System32\drivers\NdisVirtualBus.sys	216
0xde012e476330	\Windows\System32\drivers\USBXHCI.SYS	216
0xde012e4764a0	\Windows\System32\drivers\CmBatt.sys	216
0xde012e476610	\Windows\System32\drivers\portcls.sys	216
0xde012e476780	\Windows\System32\drivers\drmk.sys	216
0xde012e476bd0	\Windows\System32\drivers\ks.sys	216
0xde012e47e0c0	\Windows\System32\psapi.dll	216
0xde012e47e250	\Windows\System32\msctf.dll	216
0xde012e47e3e0	\Windows\System32\setupapi.dll	216
0xde012e47e570	\Windows\System32\Wldap32.dll	216
0xde012e47e700	\Windows\System32\user32.dll	216
0xde012e47ea20	\Windows	216
0xde012e47ebb0	\Windows\System32\gdi32.dll	216
0xde012e47ed40	\Windows\System32\kernel32.dll	216
0xde012e47eed0	\Windows\System32\wow64cpu.dll	216
0xde012e47f1f0	\Windows\System32\imm32.dll	216
0xde012e47f380	\Windows\System32\ws2_32.dll	216
0xde012e47f510	\Windows\System32\GdiPlus.dll	216
0xde012e47f6a0	\Windows\System32\rpcrt4.dll	216
0xde012e47f830	\ProtectedPrefix\Administrators	216
0xde012e47fb50	\Windows\System32\oleaut32.dll	216
0xde012e47fce0	\ProtectedPrefix\LocalService	216
0xde012e47fe70	\Windows\System32\combase.dll	216
0xde012e4d54d0	\Windows\System32\drivers\USBHUB3.SYS	216
0xde012e4d6330	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui	216
0xde012e4d6610	\Windows\System32\drivers\usbd.sys	216
0xde012e4d75e0	\Windows\System32\drivers\ksthunk.sys	216
0xde012e4d7d10	\Windows\System32\drivers\HdAudio.sys	216
