Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xde012b875040	114	-	N/A	False	2024-03-27 06:56:25.000000 	N/A	-	-	-
* 72	4	Registry	0xde012b946040	4	-	N/A	False	2024-03-27 06:56:24.000000 	N/A	Registry	-	-
* 336	4	smss.exe	0xde012e452040	2	-	N/A	False	2024-03-27 06:56:25.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1936	4	MemCompression	0xde013115c040	42	-	N/A	False	2024-03-27 06:56:38.000000 	N/A	MemCompression	-	-
428	416	csrss.exe	0xde012bff1080	9	-	0	False	2024-03-27 06:56:26.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
500	416	wininit.exe	0xde012ece8080	1	-	0	False	2024-03-27 06:56:26.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 624	500	services.exe	0xde012eb8f080	5	-	0	False	2024-03-27 06:56:26.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 896	624	sppsvc.exe	0xde012efbe080	0	-	0	False	2024-03-27 06:56:27.000000 	2024-03-26 22:59:00.000000 	\Device\HarddiskVolume2\Windows\System32\sppsvc.exe	-	-
** 2944	624	NisSrv.exe	0xde0131628080	6	-	0	False	2024-03-26 22:56:53.000000 	N/A	\Device\HarddiskVolume2\Program Files\Windows Defender\NisSrv.exe	"C:\Program Files\Windows Defender\NisSrv.exe"	C:\Program Files\Windows Defender\NisSrv.exe
** 6400	624	svchost.exe	0xde01363f7080	12	-	0	False	2024-03-26 23:03:11.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p	C:\Windows\System32\svchost.exe
** 3972	624	svchost.exe	0xde0132561240	4	-	0	False	2024-03-26 22:58:28.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p	C:\Windows\system32\svchost.exe
** 772	624	svchost.exe	0xde0132809080	7	-	2	False	2024-03-26 23:00:33.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup	C:\Windows\system32\svchost.exe
** 8	624	svchost.exe	0xde0130cf0280	16	-	0	False	2024-03-27 06:56:31.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p	C:\Windows\System32\svchost.exe
*** 2716	8	ctfmon.exe	0xde01327df080	11	-	2	False	2024-03-26 23:00:33.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\ctfmon.exe	"ctfmon.exe"	C:\Windows\system32\ctfmon.exe
** 6280	624	SecurityHealth	0xde0133e4e080	13	-	0	False	2024-03-26 23:02:12.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe	C:\Windows\system32\SecurityHealthService.exe
** 3724	624	MicrosoftEdgeU	0xde0132154080	10	-	0	True	2024-03-26 23:03:08.000000 	N/A	\Device\HarddiskVolume2\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /svc	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
*** 4104	3724	MicrosoftEdge_	0xde013068a080	2	-	0	False	2024-03-26 23:04:13.000000 	N/A	\Device\HarddiskVolume2\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\MicrosoftEdge_X64_122.0.2365.92.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\MicrosoftEdge_X64_122.0.2365.92.exe" --msedgewebview --verbose-logging --do-not-launch-msedge --system-level	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\MicrosoftEdge_X64_122.0.2365.92.exe
**** 6468	4104	setup.exe	0xde0133045080	3	-	0	False	2024-03-26 23:04:14.000000 	N/A	\Device\HarddiskVolume2\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe" --install-archive="C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\MicrosoftEdge_X64_122.0.2365.92.exe" --msedgewebview --verbose-logging --do-not-launch-msedge --system-level	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe
***** 6452	6468	setup.exe	0xde0133c1e080	7	-	0	False	2024-03-26 23:04:14.000000 	N/A	\Device\HarddiskVolume2\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe" --type=crashpad-handler /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Windows\SystemTemp\MsEdgeCrashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=122.0.6261.129 "--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe" --annotation=plat=Win64 "--annotation=prod=Microsoft Edge" --annotation=ver=122.0.2365.92 --initial-client-data=0x234,0x238,0x23c,0x210,0x240,0x7ff743a079a8,0x7ff743a079b4,0x7ff743a079c0	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{56888A3B-236D-4C45-B20B-784A47C36CE8}\EDGEMITMP_B3766.tmp\setup.exe
** 1560	624	spoolsv.exe	0xde013135b200	8	-	0	False	2024-03-27 06:56:39.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe	C:\Windows\System32\spoolsv.exe
** 1432	624	svchost.exe	0xde013259b300	4	-	0	False	2024-03-26 22:59:07.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k WbioSvcGroup	C:\Windows\system32\svchost.exe
** 1060	624	svchost.exe	0xde0130d3d2c0	12	-	0	False	2024-03-27 06:56:31.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	C:\Windows\System32\svchost.exe
*** 4084	1060	audiodg.exe	0xde0133ce0080	6	-	0	False	2024-03-26 23:02:09.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\audiodg.exe	C:\Windows\system32\AUDIODG.EXE 0x500	C:\Windows\system32\AUDIODG.EXE
** 1192	624	svchost.exe	0xde0130d982c0	19	-	0	False	2024-03-27 06:56:32.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k NetworkService -p	C:\Windows\system32\svchost.exe
** 4780	624	svchost.exe	0xde01326e4280	5	-	2	False	2024-03-26 23:00:45.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p	C:\Windows\system32\svchost.exe
** 832	624	svchost.exe	0xde012efa62c0	21	-	0	False	2024-03-27 06:56:27.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k RPCSS -p	C:\Windows\system32\svchost.exe
** 964	624	svchost.exe	0xde0130c36240	73	-	0	False	2024-03-27 06:56:27.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs -p	C:\Windows\System32\svchost.exe
*** 2696	964	taskhostw.exe	0xde01318e4200	6	-	0	False	2024-03-26 22:56:50.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\taskhostw.exe	taskhostw.exe	C:\Windows\System32\taskhostw.exe
*** 4360	964	taskhostw.exe	0xde013219c300	5	-	2	False	2024-03-26 23:02:01.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}	C:\Windows\System32\taskhostw.exe
*** 5756	964	MicrosoftEdgeU	0xde0132ff9080	5	-	0	True	2024-03-26 23:03:08.000000 	N/A	\Device\HarddiskVolume2\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe	"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /ua /installsource scheduler	C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe
*** 392	964	sihost.exe	0xde0131f61080	12	-	2	False	2024-03-26 23:00:33.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\sihost.exe	sihost.exe	C:\Windows\System32\sihost.exe
** 2116	624	svchost.exe	0xde0131593240	4	-	0	False	2024-03-27 06:56:41.000000 	N/A	\Device\HarddiskVolume2\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k AppReadiness -p	C:\Windows\System32\svchost.exe
