customer_id,account_balance,credit_score,loan_amount,loan_duration_months,interest_rate,loan_purpose,application_date,approval_status,payment_due_date
1,87087.01,726,482920.87,89,21.62,home improvement,2/5/2023,pending,12/22/2025
2,156309.54,322,739367.29,233,8.03,education,1/18/2023,approved,9/4/2024
3,954706.45,562,89104.16,206,25.5,education,4/11/2022,pending,5/31/2024
4,17737.27,673,222031.24,260,27.83,debt consolidation,1/27/2023,approved,1/31/2025
5,522308.25,512,945928.01,251,0.81,debt consolidation,4/14/2022,approved,1/24/2024
6,905402.28,367,931784.21,299,12.77,debt consolidation,7/27/2024,approved,12/31/2024
7,818362.64,600,638229.9,212,4.24,debt consolidation,9/8/2022,pending,3/24/2025
8,61559.68,753,57801.91,289,18.53,debt consolidation,1/30/2022,approved,11/12/2024
9,912682.1,467,432387.28,21,17.09,home improvement,6/10/2022,pending,5/26/2025
10,40483.31,578,175233.79,87,29.24,education,2/21/2024,approved,3/27/2024
11,642922.74,536,778444.59,138,18.83,debt consolidation,10/27/2024,pending,10/23/2024
12,863329.37,346,73602.57,312,8.0,debt consolidation,6/10/2024,rejected,7/22/2025
13,561843.85,476,863894.88,48,2.56,education,7/23/2024,approved,10/14/2024
14,365989.33,612,101047.54,49,13.96,debt consolidation,9/24/2022,pending,5/7/2024
15,117662.52,560,810136.64,85,17.11,debt consolidation,10/13/2022,pending,1/25/2024
16,363789.37,339,778062.79,241,0.55,home improvement,5/26/2024,pending,1/4/2025
17,485103.43,308,358939.91,358,4.51,debt consolidation,3/20/2022,rejected,12/9/2025
18,797831.32,782,85353.48,219,26.54,debt consolidation,2/17/2022,rejected,8/27/2024
19,748539.74,456,776240.16,323,15.89,home improvement,5/23/2022,rejected,7/24/2024
20,687680.41,368,564869.05,185,17.63,debt consolidation,11/4/2023,pending,2/27/2024
21,661847.57,609,218442.85,198,6.04,debt consolidation,5/12/2022,approved,10/31/2025
22,39316.23,384,299781.65,139,15.86,debt consolidation,3/5/2024,approved,12/14/2025
23,61915.66,353,515458.94,197,3.91,education,12/6/2023,pending,6/3/2025
24,153059.05,743,88288.81,46,11.75,home improvement,4/27/2024,approved,9/20/2024
25,914345.05,554,546993.33,52,20.77,debt consolidation,7/4/2023,rejected,9/21/2024
26,474880.93,776,775914.68,118,25.97,education,7/3/2022,approved,10/28/2025
27,603545.73,529,995902.45,106,24.09,debt consolidation,11/24/2023,rejected,11/26/2025
