equipment_id,equipment_name,manufacturer,purchase_date,serial_number,location,maintenance_interval,calibration_date
1,Honorable,Edgeify,10/13/2020,ABCDEFGH,17th Floor,5,2/19/2020
2,Rev,Riffpath,7/10/2020,ABCDEFGH,Suite 66,10,7/4/2018
3,Mr,Youfeed,12/20/2010,XYZ12345,PO Box 57543,1,8/2/2022
4,Dr,Yacero,5/21/2010,XYZ12345,Suite 85,7,10/29/2014
5,Dr,Skyble,3/8/2017,ABCDEFGH,20th Floor,7,6/18/2020
6,Ms,Rhynyx,5/2/2021,XYZ12345,Apt 730,5,11/26/2016
7,Mr,JumpXS,5/21/2015,ABCDEFGH,Suite 56,1,9/15/2014
8,Ms,Dynabox,8/28/2019,ABCDEFGH,20th Floor,12,10/13/2018
9,Mr,Abata,9/4/2021,123456789,Suite 7,7,11/29/2015
10,Dr,Zoomcast,12/7/2019,ABCDEFGH,Room 154,7,8/7/2013
11,Mrs,Shuffledrive,9/1/2022,ABCDEFGH,Apt 921,8,12/28/2018
12,Honorable,Wikivu,6/22/2011,XYZ12345,6th Floor,12,9/7/2020
13,Rev,Flipbug,7/1/2015,ABCDEFGH,Apt 1436,6,9/1/2011
14,Rev,Innotype,8/15/2012,ABCDEFGH,Room 750,11,9/18/2021
15,Mrs,Blogpad,6/11/2015,123456789,Suite 26,10,8/15/2016
16,Ms,Youbridge,9/22/2012,XYZ12345,Apt 731,6,12/20/2018
17,Mrs,Ntag,3/9/2015,123456789,PO Box 77340,2,10/10/2011
18,Ms,Ooba,12/8/2019,123456789,9th Floor,4,1/5/2013
19,Honorable,Realblab,8/5/2014,123456789,PO Box 34199,10,7/1/2011
20,Ms,Agimba,10/25/2010,XYZ12345,12th Floor,6,6/21/2014
21,Mr,Centidel,2/10/2021,ABCDEFGH,Apt 14,2,11/14/2022
22,Mr,Skinix,11/5/2017,XYZ12345,Suite 80,4,6/19/2010
23,Mr,Mynte,2/6/2022,ABCDEFGH,Room 1691,5,11/30/2011
24,Rev,Mynte,6/26/2020,123456789,Suite 74,2,2/24/2016
25,Mrs,Skimia,10/30/2019,123456789,1st Floor,6,7/22/2022
26,Mrs,Kwinu,6/18/2018,XYZ12345,Suite 42,9,2/7/2019
27,Dr,Wordtune,3/20/2014,XYZ12345,Room 161,4,9/5/2015
28,Ms,Browsebug,4/14/2020,XYZ12345,Apt 1659,2,3/26/2021
29,Ms,Meembee,1/3/2012,XYZ12345,Room 457,7,6/4/2017
