partner_id,partner_name,partner_type,partner_since
1,Youspan,Supplier,6/29/2022
2,Mybuzz,Supplier,12/26/2002
3,Jabbersphere,Vendor,8/31/2022
4,Yacero,Supplier,12/24/2003
5,Oyondu,Client,3/15/2010
6,Tagopia,Client,12/16/2023
7,Thoughtsphere,Vendor,3/23/2001
8,Skyble,Vendor,9/3/2023
9,Tambee,Supplier,10/31/2019
10,Pixonyx,Supplier,12/21/2009
11,Feednation,Supplier,3/13/2019
12,Lazzy,Client,7/29/2004
13,Oyope,Vendor,12/21/2000
14,Trilia,Client,8/4/2009
15,Photojam,Supplier,10/21/2008
16,Photobug,Client,4/21/2015
17,Divanoodle,Vendor,12/19/2009
18,Fivebridge,Supplier,5/17/2007
19,Shuffletag,Client,1/28/2010
20,Gabspot,Supplier,10/20/2011
21,Fivebridge,Client,12/26/2021
22,Gigashots,Supplier,3/30/2014
23,Wordpedia,Supplier,7/28/2014
24,Oba,Supplier,6/21/2018
25,Avamba,Client,12/14/2019
26,Jabbersphere,Vendor,6/1/2005
27,Omba,Supplier,6/20/2004
28,Voolia,Supplier,10/14/2005
29,Skipfire,Client,3/3/2015
30,Mudo,Client,10/7/2016
31,Twitterbridge,Vendor,12/21/2000
32,Jabbersphere,Vendor,4/2/2011
33,Kare,Supplier,11/16/2000
34,Jazzy,Client,7/18/2016
35,Skaboo,Supplier,2/18/2009
36,Zoombeat,Client,7/18/2001
37,Jabbersphere,Vendor,1/4/2014
38,Dazzlesphere,Vendor,9/11/2000
39,Roodel,Supplier,7/24/2003
40,Babbleset,Vendor,4/18/2007
41,Ailane,Supplier,12/12/2011
42,Tagpad,Supplier,5/16/2019
43,Quamba,Client,10/11/2019
44,Skivee,Supplier,6/5/2010
45,Fadeo,Supplier,11/8/2013
46,Eabox,Vendor,2/14/2017
47,InnoZ,Supplier,9/25/2021
48,Yabox,Client,6/24/2011
49,Rhycero,Supplier,8/16/2008
50,Meevee,Supplier,8/25/2023
51,Agimba,Vendor,3/12/2000
52,Jatri,Vendor,8/28/2011
53,Skibox,Supplier,10/4/2013
54,Vimbo,Client,11/26/2010
55,DabZ,Client,4/12/2022
56,Dabtype,Client,10/13/2014
57,Buzzshare,Client,6/8/2006
58,Camimbo,Client,8/11/2019
59,Trilith,Vendor,9/28/2022
60,Jaxworks,Vendor,8/29/2012
61,Avaveo,Vendor,10/28/2000
62,Browsebug,Vendor,2/23/2016
63,Photolist,Supplier,11/15/2003
64,Youspan,Client,1/30/2016
65,Centidel,Vendor,8/21/2009
66,Feednation,Client,2/14/2009
67,Zoonoodle,Supplier,1/9/2019
68,Brainsphere,Supplier,10/4/2008
69,Devpoint,Vendor,2/24/2021
70,Thoughtmix,Supplier,7/19/2023
71,Youtags,Vendor,4/10/2008
72,Babbleopia,Vendor,4/27/2019
73,Dazzlesphere,Client,1/23/2018
74,Kanoodle,Supplier,7/15/2021
75,Zoomdog,Vendor,6/23/2023
76,Leexo,Vendor,7/4/2006
77,Kazio,Client,1/6/2023
78,Trudeo,Supplier,7/18/2022
79,Browseblab,Supplier,10/24/2017
80,Yacero,Supplier,3/12/2005
81,Skibox,Client,5/29/2010
82,Voolith,Vendor,5/11/2021
83,Feednation,Client,7/24/2014
84,Centizu,Vendor,7/17/2010
85,Twitterlist,Supplier,1/24/2023
86,Buzzdog,Supplier,10/26/2014
87,Tagopia,Vendor,8/4/2018
88,Edgeclub,Supplier,10/17/2021
89,Oodoo,Supplier,8/18/2011
90,Twitterlist,Vendor,4/16/2007
91,Skivee,Supplier,2/21/2017
92,Skipfire,Supplier,8/29/2021
93,Yata,Vendor,5/4/2018
94,Skipstorm,Supplier,9/8/2020
95,Skyvu,Supplier,3/7/2022
96,Rhyzio,Client,4/2/2016
97,Realbuzz,Vendor,1/5/2014
98,Eamia,Client,5/4/2012
99,Jaxworks,Vendor,9/15/2004
100,Camimbo,Vendor,6/22/2009
101,Oodoo,Client,10/8/2005
102,Avavee,Supplier,4/10/2022
103,Jayo,Vendor,6/4/2018
104,Edgewire,Supplier,8/30/2007
105,Photobug,Vendor,8/12/2009
106,Voonder,Supplier,12/30/2017
107,Jabbertype,Vendor,8/16/2000
108,Jaloo,Client,3/4/2018
109,Dazzlesphere,Client,12/13/2003
110,Twitterbeat,Supplier,12/4/2014
111,Photobug,Supplier,8/8/2007
112,Youtags,Supplier,7/9/2000
113,Meedoo,Vendor,3/4/2000
114,Zooxo,Supplier,11/26/2017
115,Tagfeed,Client,5/8/2010
116,Devify,Supplier,1/4/2002
117,Aibox,Supplier,7/21/2022
118,Zooxo,Vendor,4/22/2017
119,Gabvine,Supplier,3/12/2007
120,Vinder,Client,10/14/2020
121,Brainsphere,Client,2/19/2002
122,Rhyloo,Client,7/8/2010
123,Trunyx,Supplier,1/22/2011
124,Dabfeed,Vendor,4/27/2000
125,Devcast,Client,5/17/2021
126,Blogtags,Supplier,12/16/2018
127,Plajo,Supplier,6/4/2009
128,Jabbercube,Vendor,8/24/2003
129,Bubbletube,Vendor,11/12/2007
130,Realcube,Client,5/8/2021
131,Twinte,Vendor,7/6/2021
132,Wordware,Vendor,12/1/2009
133,Tanoodle,Client,12/6/2007
134,Divape,Client,3/24/2021
135,Katz,Supplier,4/19/2021
136,Flashspan,Supplier,12/3/2022
137,Topiclounge,Vendor,3/18/2004
138,Zoozzy,Supplier,12/7/2000
139,Browsecat,Supplier,4/8/2005
140,Zoonoodle,Supplier,9/22/2006
141,Photobean,Supplier,9/28/2010
142,Quimba,Vendor,7/6/2000
143,Realbridge,Client,9/3/2018
144,Brainverse,Vendor,5/23/2001
145,Topiczoom,Vendor,10/5/2011
146,Bluejam,Vendor,11/14/2009
147,Meedoo,Vendor,10/15/2012
148,Tagchat,Client,12/31/2018
149,Vinte,Supplier,8/8/2018
150,Gabtype,Supplier,3/14/2006
151,Blogspan,Supplier,4/24/2000
152,Vimbo,Supplier,3/10/2004
153,Avaveo,Supplier,11/11/2012
154,Thoughtblab,Vendor,2/1/2014
155,Rhybox,Vendor,10/21/2003
156,Babbleset,Vendor,11/29/2005
157,Yabox,Client,1/11/2000
158,Oodoo,Vendor,4/14/2003
159,Gabcube,Client,4/28/2004
160,Zoomdog,Vendor,11/18/2014
161,Twitterworks,Supplier,9/20/2004
162,Jamia,Vendor,11/23/2022
163,Zazio,Client,4/10/2020
164,Trunyx,Supplier,2/18/2020
165,Quimm,Client,1/21/2010
166,Ailane,Client,8/16/2011
167,Jabbercube,Supplier,9/22/2015
168,Oloo,Vendor,6/25/2009
169,Flashpoint,Supplier,3/12/2009
170,Dynava,Vendor,11/12/2012
171,Tagfeed,Supplier,1/5/2009
172,Babblestorm,Supplier,2/4/2017
173,Linklinks,Vendor,9/9/2022
174,Zoomzone,Supplier,1/13/2021
175,Gabtype,Vendor,10/25/2015
176,Jetpulse,Supplier,4/23/2020
177,Aivee,Client,11/17/2019
178,Avamm,Supplier,3/31/2021
179,Feednation,Client,4/10/2023
180,Trunyx,Vendor,6/18/2005
181,Riffpath,Supplier,7/20/2015
182,Voonix,Supplier,10/15/2016
183,Devshare,Client,5/6/2003
184,Riffpedia,Supplier,9/10/2015
185,Dabjam,Vendor,11/30/2015
186,Voomm,Vendor,12/17/2003
187,Tavu,Vendor,5/10/2004
188,Realblab,Client,1/29/2021
189,Demivee,Client,10/3/2023
190,Jabberstorm,Client,7/18/2018
191,Demivee,Vendor,5/30/2004
192,Geba,Vendor,9/2/2001
193,Voonte,Supplier,3/12/2011
194,Dynabox,Vendor,5/15/2010
195,Katz,Supplier,7/2/2016
196,Livepath,Supplier,7/20/2015
197,Skaboo,Client,6/15/2000
198,Twinder,Supplier,9/21/2016
199,Kimia,Supplier,4/9/2014
200,Skippad,Supplier,5/8/2008
201,Meetz,Client,8/6/2008
202,Quaxo,Supplier,8/7/2023
203,Feedmix,Vendor,10/4/2012
204,Yotz,Client,11/11/2004
205,Trudeo,Supplier,12/22/2011
206,Voomm,Supplier,5/17/2013
207,Twimbo,Client,1/30/2011
208,Dabjam,Client,7/3/2020
209,Jaxworks,Supplier,10/30/2020
210,Roombo,Supplier,12/11/2016
211,Camido,Supplier,1/11/2013
212,Gevee,Vendor,6/12/2022
213,Twimbo,Supplier,3/4/2012
214,Jabbertype,Client,9/11/2014
215,Skynoodle,Vendor,12/1/2008
216,Ozu,Client,2/10/2020
217,Brightbean,Vendor,8/6/2005
218,Gigabox,Vendor,8/13/2018
219,Lajo,Client,1/6/2000
220,Browsedrive,Supplier,5/21/2008
221,Vipe,Supplier,7/11/2006
222,Cogidoo,Vendor,2/3/2000
223,Leenti,Vendor,8/9/2017
224,Twitterwire,Vendor,9/22/2001
225,Realcube,Vendor,8/17/2017
226,Skyble,Vendor,5/17/2012
227,Gigazoom,Supplier,6/23/2023
228,Twinder,Vendor,6/27/2019
229,Voonder,Supplier,2/4/2015
230,Browsezoom,Supplier,9/5/2003
231,Abata,Supplier,3/28/2012
232,Kare,Client,9/25/2014
233,Mynte,Client,10/14/2014
234,Yozio,Vendor,11/8/2011
235,Skipstorm,Supplier,12/18/2014
236,Skippad,Vendor,7/22/2011
237,Shufflebeat,Vendor,10/3/2011
238,Aivee,Client,11/27/2013
239,Gabspot,Vendor,9/5/2014
240,Yodel,Supplier,3/24/2001
241,Jetpulse,Client,9/29/2006
242,Meejo,Supplier,10/10/2020
243,Lazzy,Client,7/27/2008
244,Meezzy,Supplier,7/13/2019
245,Izio,Client,11/3/2018
246,Topicware,Vendor,7/25/2022
247,Mydeo,Vendor,11/14/2003
248,Oloo,Client,11/2/2002
249,Jatri,Vendor,11/14/2018
250,Edgeify,Client,12/15/2023
251,Dynava,Supplier,3/4/2004
252,Skalith,Client,4/5/2007
253,Twitterwire,Supplier,10/11/2023
254,Brightdog,Vendor,12/7/2020
255,Linktype,Supplier,8/5/2005
256,Photobean,Vendor,8/2/2018
257,Skinder,Vendor,6/27/2005
258,LiveZ,Vendor,1/22/2022
259,Yodo,Supplier,11/22/2020
260,Flashspan,Client,1/10/2014
261,Leexo,Supplier,6/12/2011
262,Feedspan,Supplier,9/7/2011
263,Dabtype,Supplier,4/3/2017
264,Realfire,Supplier,5/30/2021
265,Mudo,Supplier,10/7/2012
266,Flipbug,Supplier,11/7/2006
267,Flashpoint,Supplier,3/28/2000
268,Feedmix,Supplier,2/19/2013
269,Voolia,Vendor,8/15/2017
270,Youbridge,Supplier,10/15/2022
271,Twitterbridge,Vendor,5/8/2022
272,Jayo,Vendor,6/12/2004
273,Jabbertype,Vendor,3/3/2004
274,Quimba,Client,2/25/2000
275,Quatz,Supplier,1/23/2017
276,Bubblemix,Client,6/12/2008
277,Trilia,Client,11/27/2019
278,Ailane,Supplier,5/30/2016
279,Zoomzone,Vendor,11/17/2020
280,Dabtype,Supplier,1/26/2016
281,Eimbee,Client,7/31/2008
282,Mybuzz,Client,12/17/2000
283,Youspan,Supplier,5/16/2018
284,Oyondu,Client,11/13/2010
285,Jabberstorm,Client,3/29/2017
